Merit,Dept.-Univ.
1139,EEE-CUET
1140,EEE-CUET
1141,EEE-RUET
1142,ME-KUET
1143,EEE-CUET
1144,CSE-CUET
1145,EEE-CUET
1146,CSE-CUET
1147,EEE-RUET
1148,ME-KUET
1149,EEE-RUET
1150,CE-KUET
1151,CE-KUET
1152,ME-KUET
1153,ME-KUET
1154,CE-KUET
1155,EEE-RUET
1156,ME-KUET
1157,CSE-CUET
1158,EEE-CUET
1159,MTE-KUET
1160,CSE-RUET
1161,EEE-RUET
1162,EEE-CUET
1163,CSE-CUET
1164,ME-KUET
1165,CSE-RUET
1167,CSE-RUET
1168,CSE-RUET
1169,EEE-RUET
1170,CSE-RUET
1172,EEE-RUET
1173,EEE-RUET
1174,CE-KUET
1175,EEE-CUET
1176,ME-KUET
1177,EEE-RUET
1178,EEE-RUET
1180,ME-KUET
1181,CSE-RUET
1182,ME-CUET
1183,EEE-CUET
1184,CSE-RUET
1186,CSE-CUET
1187,CSE-RUET
1188,CSE-RUET
1189,ME-KUET
1190,CSE-CUET
1191,CSE-CUET
1192,CSE-RUET
1193,EEE-RUET
1194,EEE-RUET
1195,CSE-RUET
1196,CSE-RUET
1197,ECE-KUET
1198,EEE-RUET
1200,EEE-RUET
1201,EEE-CUET
1202,EEE-RUET
1204,EEE-RUET
1205,EEE-CUET
1206,EEE-CUET
1207,CSE-CUET
1208,EEE-CUET
1209,CE-CUET
1210,EEE-RUET
1211,CSE-RUET
1212,EEE-CUET
1213,ME-KUET
1214,ME-KUET
1215,CE-RUET
1217,EEE-RUET
1220,EEE-CUET
1221,ME-KUET
1222,ME-KUET
1223,EEE-CUET
1224,CSE-CUET
1225,CSE-RUET
1226,EEE-CUET
1227,CSE-RUET
1228,ME-KUET
1229,EEE-RUET
1230,CSE-RUET
1231,ME-KUET
1232,CE-KUET
1233,EEE-CUET
1235,EEE-RUET
1237,CSE-RUET
1238,ME-KUET
1239,ME-KUET
1240,CSE-RUET
1241,EEE-RUET
1242,EEE-CUET
1243,CSE-RUET
1245,ME-KUET
1246,CSE-RUET
1247,CE-KUET
1248,CSE-RUET
1249,ME-KUET
1250,CSE-RUET
1251,EEE-RUET
1252,EEE-RUET
1253,CSE-RUET
1254,CE-KUET
1255,CE-RUET
1256,EEE-CUET
1257,CSE-CUET
1258,EEE-CUET
1259,CSE-RUET
1260,EEE-RUET
1261,CSE-RUET
1262,CSE-RUET
1263,ME-KUET
1264,EEE-CUET
1265,CSE-RUET
1267,CSE-RUET
1268,EEE-CUET
1269,EEE-CUET
1270,ME-CUET
1271,ME-KUET
1272,CE-KUET
1273,EEE-RUET
1274,ME-KUET
1275,ME-KUET
1276,EEE-CUET
1277,ME-CUET
1278,EEE-RUET
1279,CSE-RUET
1280,EEE-CUET
1281,EEE-RUET
1282,EEE-CUET
1284,EEE-RUET
1285,ME-KUET
1286,CE-KUET
1287,EEE-CUET
1289,CE-KUET
1290,EEE-CUET
1291,EEE-RUET
1292,CSE-RUET
1293,CSE-RUET
1294,EEE-CUET
1295,EEE-RUET
1296,EEE-CUET
1298,EEE-RUET
1299,ME-KUET
1300,EEE-RUET
1301,CE-KUET
1302,BME-KUET
1303,CSE-RUET
1304,EEE-CUET
1305,ME-KUET
1306,ME-KUET
1308,EEE-RUET
1311,EEE-CUET
1312,EEE-RUET
1313,CE-KUET
1314,EEE-RUET
1316,CE-KUET
1317,CSE-RUET
1319,EEE-CUET
1320,EEE-CUET
1321,EEE-RUET
1322,CSE-RUET
1323,CE-KUET
1324,CE-KUET
1325,EEE-RUET
1326,EEE-RUET
1327,CE-KUET
1330,EEE-CUET
1332,ECE-RUET
1333,EEE-CUET
1334,EEE-RUET
1335,EEE-RUET
1336,CE-KUET
1337,EEE-CUET
1338,CE-KUET
1339,CE-CUET
1340,CHE-KUET
1341,CE-KUET
1342,CE-KUET
1343,CE-KUET
1344,EEE-RUET
1345,CE-CUET
1347,EEE-CUET
1348,EEE-CUET
1349,EEE-RUET
